"","Genomic_regions","Length","Gene_count"
"1","2L",23513712,2657
"2","2R",25286936,2851
"3","3L",28110227,2739
"4","3R",32079331,3421
"5","4",1348131,80
"6","mt",19524,13
"7","X",23542271,2179
"8","Y",3667352,23
